,theme,contents
0,2차전지," MR기술을 적용, 도시에서 공연하고 있는 듯한 엔플라잉 /사진=fnDB  [케이콘택트 2020 서머] MR기술을 적용, 흑백사막에서 공연하고 있는 듯한 (여자)아이들 /사진=fnDB  [케이콘택트 2020 서머] 언택트 멀티플 비디오콜 시스템으로 팬들과 소통하고 있는 TOO /사진=fnDB  콘서트 도중 팬과 함께 무대를 꾸미고 있는 강다니엘 /사진=fnDB  [케이콘택트 2020 서머] 미디어 퍼포먼스에 최적화된 무대 시스템을 통해 다른 공간에 있는 크래비티 민희와 몬스타엑스 기현을 한 화면에 담은 콜라보 무대 /사진=fnDB  [파이낸셜뉴스] CJ ENM이 K컬쳐 페스티벌 ‘케이콘:탠트 2020 서머 KCON:TACT 2020 SUMMER’를 온라인으로 진행해 지난 8년간 24회 오프라인 케이콘 방문객수의 3.5배 이상 관객을 모았다.   29일 CJ ENM은 지난 20일부터 26일까지 일주일간 유튜브(Youtube), 티빙(TVING), 쇼피(Shopee), 에이아이에스 (AIS) 등의 플랫폼에서 케이콘탠트 2020 서머를 진행했고, 세계 150개 지역에서 유·무료 관객 합산 405만 명이 함께 했다고 29일 밝혔다. 이는 8년간 24회의 오프라인 ‘케이콘 (KCON)’에 방문했던 관객 수보다 3.5배 이상 많은 수치다.   CJ ENM은 지난 2012년부터 미주, 중남미, 유럽, 중동, 오세아니아 등지에서 KCON (케이콘)을 개최했고, 누적 110만 명의 관객을 모은 바 있다. 올해는 디지털 플랫폼에서 진행하는 페스티벌을 신설해 유료 콘텐츠로 새로운 비즈니스 모델을 발굴하고, 행사 기간 최초로 선보인 양질의 무료 콘텐츠로 K컬쳐의 저변을 확대하는 등 두 마리 토끼를 모두 잡았다.   ‘케이콘택트 2020 서머’에는 AB6IX, A.C.E, 아스트로, 에이티즈, 밴디트, 청하, 크래비티, 에버글로우, 여자친구, (여자)아이들, 골든차일드, ITZY, 아이즈원, JO1, 강다니엘, 김재환, 이달의 소녀, 마마무, 몬스타엑스, 엔플라잉, 나띠, 네이처, 오마이걸, 원어스, 온앤오프, 펜타곤, SF9, 스트레이 키즈, 더보이즈, TOO, 투모로우바이투게더, 베리베리, 빅톤까지 33팀의 아티스트(ABC 순)가 함께 해 7일간의 콘서트 무대를 꽉 채웠다.   한국 시각으로 매일 밤 10시부터 4시간 이상씩 라이브로 진행된 콘서트에서는 MR(Mixed Reality) 기술을 활용해 팬과 아티스트 모두에게 새로운 경험을 선사했다. 또한 각각 다른 공간에 있는 아티스트를 한 화면에 담은 온라인 콜라보 무대를 구축, 언택트 시대 아티스트간 협업의 새로운 모델을 제시했다. 한국의 뮤직 크리에이티브 시스템을 통해 탄생한 11인조 보이그룹 JO1은 일본 현지에서 ‘케이콘택트 2020 서머’에 참여했다.   ■ AR, VR 등 확장현실 기술 도입   2016년 MAMA(Mnet Asian Music Awards) 무대에서 국내 최초로 AR 기술을 선보인 바 있는 CJ ENM은 이번 ‘케이콘택트 2020 서머’의 콘서트와 팬미팅에 AR, VR를 포함한 ‘확장현실(XR: eXpanded Reality)’ 기술을 도입했다.   디지털 플랫폼에 특화된 다양한 기술들은 상상 속에서만 가능했던 다채로운 무대를 현실화시키고, 아티스트와 팬들간 실시간 쌍방향 소통을 가능케 했다.   특히 첫 날 이달의소녀 멤버 희진이 정사각형 큐브 AR을 활용해 선보인 오프닝 퍼포먼스는 AR 기술의 정수로 손꼽혔다. 에릭남의 사회로 진행된 온라인 팬미팅에서는 팬들의 채팅 참여도가 실시간 반영되는 ‘AR타워’, 모바일 기기를 움직이는 대로 공중에 그림이 구현되는 ‘AR 드로잉’ 등 기존의 온라인 팬 미팅에서 시도되지 않았던 기술들을 통해 공간을 초월해 아티스트와 팬들이 함께 있는 듯한 감동을 선사했다.   K-팝 아티스트들의 콘서트뿐 아니라, K-뷰티, K-푸드 등 다양한 K-라이프스타일 관련 콘텐츠도 해외 팬들의 눈길을 사로잡았다. ‘다이아 티비’ 유튜브 크리에이터와 공동 제작한 ‘케이콘 스튜디오 KCON STUDIO’를 통해 매일 새로운 아티스트와 유튜브 크리에이터 간의 콜라보 콘텐츠가 최초 공개됐다.   박막례 할머니와 TOO가 함께한 K팝 아이돌 댄스 배워보기, 뷰티 크리에이터 씬님이 함께 하는 에버글로우의 파우치 탐구, 펜타곤이 헤어디자이너 기우쌤에게 배워보는 스타일링 팁 등 다양한 콘텐츠를 통해 한국 문화의 매력을 알렸다.   해외에서도 고유 명사로 자리잡은 ‘먹방’을 컨텐츠화해, 한국의 고유 식재료와 그에 어울리는 레시피를 BTOB의 은광, 방송인 알베르토와 보이그룹 SF9이 소개하고 함께 먹어보며 K-푸드에 대한 전 세계 팬들의 뜨거운 관심을 이끌어냈다.   CJ ENM 음악콘텐츠본부 신형관 본부장은 “2012년 미국에서 시작한 케이콘을 8년만에 누적 110만 관객을 모으는 세계 최대 K컬쳐 페스티벌로 자리매김시킨 데 이어, 이번 ‘케이콘택트 2020 서머’로 일주일간 405만 명에게 한국 문화를 전파했다”며, “앞으로도 CJ ENM은 온오프라인 페스티벌을 병행하며 행사 특징에 맞는 다양한 콘텐츠를 개발, K컬쳐의 세계화 및 저변 확대에 앞장서 나가겠다”고 말했다.   한편 일주일 간의 행사 이후에도 ‘케이콘택트 2020 서머’의 열기는 당분간 계속된다. 행사 종료 후 2주간 콘서트 및 온라인 팬미팅 영상이 24시간 논스톱으로 스트리밍 서비스되며, 아티스트 직캠과 비하인드 영상도 순차적으로 공개될 예정이다. ‘케이콘택트 2020 서머’는 유튜브 및 티빙의 월정액 멤버쉽 가입을 통해 즐길 수 있다.   "
1,2차전지," MR 기술을 적용, 구름에 떠있는 듯한 아이즈원. 2020.06.29. (사진 = CJ ENM 제공)"
2,2차전지," #지난 27일 가수 장윤정이 서울 용산구 서울역 광장에서 ‘사랑 참’을 열창했다. 하지만 사람들이 몰려들지 않았다. 사회적 거리두기가 지켜진 비결은 실제 사람이 아닌 스마트폰으로 보는 ‘증강현실(AR)’ 장윤정이기 때문이다. AR 기술 덕분에 야외에서 장윤정의 감미로운 목소리까지 들었다.신종 코로나바이러스 감염증(코로나19) 여파로 비대면 문화가 정착되고 있다. 사회적 거리두기를 준수하면서도 현실감을 생생하게 느끼는 AR 콘텐츠가 쏟아지고 있다. 이용자가 있는 공간으로 찾아오는 3D 실감형 콘텐츠가 공연, 쇼핑, 문화재 관람 등 다양한 영역까지 확장되며 비대면 시대의 빈틈을 채우고 있다. 28일 이동통신 업계에 따르면 LG유플러스(032640)는 U+ AR·U+ AR 쇼핑 등 애플리케이션을 통해 AR 콘텐츠를 선보이고 있다. SK텔레콤(017670)은 ‘점프AR’앱으로 ‘AR 덕수궁’ 콘텐츠 등을 볼 수 있도록 서비스하고 있다. KT(030200)는 산업분야에 AR을 활용해 업무효율을 높이고, 작업 도중의 안전사고를 방지하는데 초점을 맞추고 있다.LG유플러스 모델들이 U+AR쇼핑을 소개하고 있다./사진제공=LG유플러스LG유플러스는 통신3사 중에서 가장 적극적으로 AR시장을 공략하고 있다. 지난해 4월 U+AR이 출시된 이후 2,000편 가량의 AR콘텐츠가 제공되어 왔다. 공연을 AR로 생생하게 보는 엔터테인먼트 콘텐츠가 대표적이다. 지난 16일 LG유플러스는 뮤지컬 ‘모차르트!’와 협업해 뮤지컬 AR콘텐츠도 공개됐다. LGU+는 쇼핑에도 AR을 적용해 이용자가 직접 가게에 가지 않아도 매장의 상품들을 360도로 돌려가며 살펴볼 수 있게 했다.  지난 26일부터는 GS홈쇼핑과 협업해 국산 농산물과 중소기업 제품에도 AR을 적용하고 있다. 이 같은 노력들이 결실을 맺어 지난 5월 U+AR쇼핑의 이용자 수는 코로나19 사태가 본격화되기 전인 지난 1월 대비 약 4배 증가했다.서울 용산구 한 카페에서 SK텔레콤 앱 ‘점프AR’로 실행한 ‘AR 덕수궁’./김성태기자SK텔레콤은 덕수궁 체험에 AR 기술을 적용했다. 직접 덕수궁에 갈 필요없이 점프AR 앱으로 덕수궁 전경을 둘러볼 수 있도록 했다. 최근에는 리그 오브 레전드(LoL) AR기반 사진·동영상 촬영 메뉴를 신설하고 LoL 게임을 재연한 소셜룸을 열었다. 전진수 SK텔레콤 5GX서비스사업본부장은 “시간을 초월하여 현실 구조물 위에 과거의 역사와 흔적을 고스란히 담아낼 수 있는 증강현실기술을 발전시켜 나갈 것”이라고 밝혔다.T1 프로게이머 ‘페이커’ 이상혁씨가 ‘점프 AR’ 앱에서 LoL 게임 캐릭터인 ‘아칼리’를 만나는 영상을 촬영하고 있다./사진제공=SK텔레콤KT는 산업에 AR를 적극적으로 도입하고 있다. AR을 통해 대면접촉 없는 원격 협업을 추진하고 있다. 지난 5월 KT는 현대건설기계와 물류 설비 첨단화을 위한 업무협약을 맺고 AR을 통한 원격 애프터서비스 등을 추진하기로 했다. 또한, KT는 삼성서울병원과 함께 현실세계에 가상현실(VR)을 접목한 혼합현실(MR) 콘텐츠로 치매 예방 등을 위한 MR 솔루션을 함께 개발할 예정이다. 전홍범 KT 부사장은 “KT는 ICT 역량을 기반으로 대한민국 산업의 디지털 전환을 지속 추진할 것”이라고 설명했다. AR 시장은 더욱 커질 전망이다. 시장조사기관 IDC는 전 세계 AR·VR 시장이 올해 188억달러(약 22조5,600억원)에서 2023년까지 약 1,030억달러(약123조6,000억원) 규모까지 성장할 것으로 전망했다. 김훈배 KT 커스터머신사업본부장 전무 겸 한국가상증강현실산업협회 회장은 “현재 코로나19로 인한 위기 속, 업무와 생활 방식이 크게 변화하는 가운데 VR·AR 산업은 새로운 역할을 부여받으며 재도약의 시대를 맞이하게 됐다”며 “5G 도입의 확산, 비대면(Untact) 서비스 확대 등의 시대적 흐름은 그 동안 사업 확장에 어려움을 겪었던 VR·AR 기업들에게 새로운 기회가 될 것”이라고 밝혔다. /김성태기자"
3,2차전지,"LG유플러스와 GS홈쇼핑이 코로나19로 어려운 과수농가와 중소기업 상품에 대한 ‘착한 소비’ 지원에 나섰다.LG유플러스는 GS홈쇼핑과 손잡고 홈쇼핑에서 판매되는 국내 과수농가의 농산물과 중소기업 상품에 대해 AR(증강현실) 기술을 적용한다고 25일 밝혔다.이에 따라 이달 26일부터 GS홈쇼핑을 통해 판매되는 사과, 신발, 믹서기 등 해당 상품은 U+AR쇼핑 앱을 통해 실제 3D AR 제품 이미지와 영상을 확인할 수 있으며, LG유플러스는 중소기업들의 잡화, 의류 등 적용분야를 더욱 확대할 계획이다.양사는 U+AR쇼핑 앱을 통해 해당상품을 구매 한 건에 대해 홈쇼핑과 동일한 할인 혜택을 적용하고, LG유플러스 멤버십 고객에게는 5%의 추가 할인 또는 10%의 적립 혜택도 제공한다.LG유플러스와 GS홈쇼핑 직원들이 AR(증강현실)이 적용된 판매 방식을 소개하고 있다.U+AR쇼핑은 5G를 기반으로 스마트 폰으로 방송중인 홈쇼핑 채널을 비추면, 해당 상품 정보를 360도 3D AR로 실제의 제품 이미지와 영상을 제공하는 서비스다.이용 방법은 스마트폰에서 U+AR쇼핑앱 실행 후 해당 상품 방송 시간에 홈쇼핑 화면을 스마트폰 카메라로 비추거나, 앱 내의 방송편성표에 있는 ‘AR’ 표시가 있는 상품을 클릭하면 실제 쇼핑하듯 상품을 360도로 돌려가며 자세히 볼 수 있다.이 서비스는 모든 통신사 고객이 이용할 수 있으며, IPTV 제공 사업자에 상관없이 GS홈쇼핑 방송이 송출되는 모든 화면에서 이용이 가능하다.LG유플러스는 향후 홈쇼핑 제휴사를 더욱 확대하고, 판매상품과 할인 혜택을 지속적으로 강화할 예정이다.LG유플러스 손민선 클라우드서비스담당 상무는 “홈쇼핑과 다양한 협력을 통해 기존에는 경험해 보지 못한 차별화된 쇼핑 경험을 제공하는 언택트 시대의 새로운 쇼핑 서비스로 진화해 나갈 것”이라고 말했다.김효정 기자"
4,2차전지,"   LG유플러스의 3D AR 기술 적용 상품 소개 장면.      LG유플러스는 GS홈쇼핑과 손잡고 홈쇼핑에서 판매되는 국내 과수농가의 농산물과 중소기업 상품에 대해 AR(증강현실) 기술을 적용한다고 25일 밝혔다.  이에 26일부터 GS홈쇼핑을 통해 판매되는 사과, 신발, 믹서기 등 해당 상품은 U+AR쇼핑 앱을 통해 실제 3D AR 제품 이미지와 영상을 확인할 수 있다.      LG유플러스는 중소기업들의 잡화, 의류 등 적용분야를 더욱 확대할 계획이다.    양사는 U+AR쇼핑 앱을 통해 해당상품을 구매한 건에 대해 홈쇼핑과 동일한 할인 혜택을 적용하고, LG유플러스 멤버십 고객에게는 5%의 추가 할인 또는 10%의 적립 혜택도 제공한다.    U+AR쇼핑은 5G를 기반으로 스마트 폰으로 방송중인 홈쇼핑 채널을 비추면, 해당 상품 정보를 360도 3D AR로 실제의 제품 이미지와 영상을 제공하는 서비스다.    이용 방법은 스마트폰에서 U+AR쇼핑앱 실행 후 해당 상품 방송 시간에 홈쇼핑 화면을 스마트폰 카메라로 비추거나, 앱 내의 방송편성표에 있는 ‘AR’ 표시가 있는 상품을 클릭하면 실제 쇼핑하듯 상품을 360도로 돌려가며 자세히 볼 수 있다.    이 서비스는 모든 통신사 고객이 이용할 수 있으며, IPTV 제공 사업자에 상관없이 GS홈쇼핑 방송이 송출되는 모든 화면에서 이용이 가능하다.    권오용 기자 kwon"
5,2차전지," LG유플러스는 GS홈쇼핑과 손잡고 홈쇼핑에서 판매되는 국내 과수농가의 농산물과 중소기업 상품에 대해 증강현실(AR) 기술을 적용한다고 25일 밝혔다.    LG유플러스 모델들이 GS홈쇼핑 상품에 증강현실(AR) 기술 적용을 홍보하고 있다. LG유플러스 제공 이에 따라 오는 26일부터 GS홈쇼핑을 통해 판매되는 사과, 신발, 믹서기 등 해당 상품은 U+AR쇼핑 애플리케이션(앱)을 통해 실제 3D AR 제품 이미지와 영상을 확인할 수 있으며 LG유플러스는 중소기업들의 잡화, 의류 등 적용분야를 더욱 확대할 계획이다.   양사는 U+AR쇼핑 앱을 통해 해당상품을 구매 한 건에 대해 홈쇼핑과 동일한 할인 혜택을 적용하고 LG유플러스 멤버십 고객에게는 5%의 추가 할인 또는 10%의 적립 혜택도 제공한다.   U+AR쇼핑은 5세대(5G) 통신을 기반으로 스마트 폰으로 방송중인 홈쇼핑 채널을 비추면 해당 상품 정보를 360도 3D AR로 실제의 제품 이미지와 영상을 제공하는 서비스다. 이용 방법은 스마트폰에서 U+AR쇼핑앱 실행 후 해당 상품 방송 시간에 홈쇼핑 화면을 스마트폰 카메라로 비추거나 앱 내의 방송편성표에 있는 AR 표시가 있는 상품을 클릭하면 실제 쇼핑하듯 상품을 360도로 돌려가며 자세히 볼 수 있다.   이 서비스는 모든 통신사 고객이 이용할 수 있으며 인터넷(IP)TV 제공 사업자에 상관없이 GS홈쇼핑 방송이 송출되는 모든 화면에서 이용이 가능하다. LG유플러스는 향후 홈쇼핑 제휴사를 더욱 확대하고 판매상품과 할인 혜택을 지속적으로 강화할 예정이다.   손민선 LG유플러스 클라우드서비스담당 상무는 ""홈쇼핑과 다양한 협력을 통해 기존에는 경험해 보지 못한 차별화된 쇼핑 경험을 제공하는 언택트 시대의 새로운 쇼핑 서비스로 진화해 나갈 것""이라고 말했다.   "
6,2차전지,"LG유플러스가 국내 과수농가 농산물과 중소기업 상품 판매 증진을 위해 증강현실(AR) 기술을 제공한다.LG유플러스(부회장 하현회)는 GS홈쇼핑이 판매할 국내 과수농가 농산물, 중소기업 상품을 'U+AR쇼핑' 앱에서 AR로 보고 구매할 수 있다고 25일 발표했다.LG유플러스 관계자가 U+AR쇼핑을 소개하고 있다.  [출처=LG유플러스]오는 26일부터 GS홈쇼핑을 통해 판매되는 사과, 신발, 믹서기 등 해당 상품은 U+AR쇼핑 앱을 통해 실제 3D AR 제품 이미지와 영상을 확인할 수 있고, LG유플러스는 중소기업들의 잡화, 의류 등 적용분야를 더욱 확대할 계획이다.양사는 U+AR쇼핑 앱을 통해 해당상품을 구매 한 건에 대해 홈쇼핑과 동일한 할인 혜택을 적용하고, LG유플러스 멤버십 가입자에게는 5% 추가 할인 또는 10% 적립 혜택도 제공한다.LG유플러스는 향후 홈쇼핑 제휴사를 더욱 확대하고, 판매상품과 할인 혜택을 지속적으로 강화할 예정이다.한편 U+AR쇼핑은 5G를 기반으로 스마트 폰으로 방송중인 홈쇼핑 채널을 비추면, 해당 상품 정보를 360도 3D AR로 실제 제품 이미지와 영상을 제공하는 서비스다.이용 방법은 스마트폰에서 U+AR쇼핑앱 실행 후 해당 상품 방송 시간에 홈쇼핑 화면을 스마트폰 카메라로 비추거나, 앱 내 방송편성표에 있는 'AR' 표시가 있는 상품을 클릭하면 실제 쇼핑하듯 상품을 360도로 돌려가며 자세히 볼 수 있다.이 서비스는 모든 통신사 고객이 이용할 수 있고 IPTV 제공 사업자에 관계없이 GS홈쇼핑 방송이 송출되는 모든 화면에서 이용이 가능하다.손민선 LG유플러스 클라우드서비스담당(상무)는 ""홈쇼핑과 다양한 협력을 통해 기존에는 경험해 보지 못한 차별화된 쇼핑 경험을 제공하는 언택트 시대의 새로운 쇼핑 서비스로 진화해 나갈 것""이라고 말했다.송혜리기자"
7,2차전지,"LG유플러스는 GS홈쇼핑과 협업해 GS홈쇼핑에서 파는 국내 과수농가의 농산물과 중소기업 상품에 AR(증강현실) 기술을 적용한다고 25일 밝혔다.    신종 코로나바이러스 감염증(코로나19) 사태로 어려움을 겪는 국내 과수농가와 중소기업을 돕자는 취지에서다.    26일부터 U+AR쇼핑앱에서 GS홈쇼핑을 통해 판매되는 사과, 신발, 믹서기 등 상품의 3D AR 제품 이미지와 영상을 확인할 수 있게 된다.    양사는 U+AR쇼핑 앱을 통해 해당 상품 구매 때 홈쇼핑과 동일한 할인 혜택을 적용하고, LG유플러스 멤버십 고객에게는 5%의 추가 할인 또는 10%의 적립 혜택도 제공한다.    U+AR쇼핑은 스마트폰으로 방송 중인 홈쇼핑 채널을 비추면, 일부 상품에 대해 해당 상품 정보를 360도 3D AR 이미지와 영상으로 제공하는 서비스다.    LG유플러스는 중소기업의 잡화, 의류 등으로 3D AR 제품 이미지 적용 분야를 더욱 확대할 계획이다.    LG유플러스 손민선 클라우드서비스담당 상무는 ""홈쇼핑과 다양한 협력으로 언택트(비접촉) 시대의 새로운 쇼핑 서비스로 진화해 나갈 것""이라고 말했다.   "
8,2차전지,"GS홈쇼핑 판매 상품에 AR 적용…‘U+AR쇼핑 앱’으로 구매 시 할인(지디넷코리아=선민규  기자)LG유플러스(대표 하현회)가 GS홈쇼핑과 손잡고 홈쇼핑에서 판매되는 과수농가의 농산물과 중소기업 상품에 ‘AR(증강현실)’ 기술을 적용한다고 25일 밝혔다.이달부터 GS홈쇼핑을 통해 판매되는 사과·신발·믹서기 등 상품은 ‘U+AR쇼핑 앱’을 통해 3D AR로 제품의 이미지와 영상을 확인할 수 있다.U+AR쇼핑 앱은 5G를 기반으로 스마트 폰으로 방송 중인 홈쇼핑 채널을 비추면, 해당 상품 정보를 360도 3D AR로 실제의 제품 이미지와 영상을 제공한다.LG유플러스가 GS홈쇼핑과 손잡고 홈쇼핑에서 판매되는 일부 상품에 AR 기술을 적용한다고 25일 밝혔다. (사진=LG유플러스)이 앱을 통해 해당 상품을 구매 한 건에 대해서는 홈쇼핑과 동일한 할인이 제공된다. LG유플러스 멤버십 이용자에게는 5%의 추가할인이나 10%의 적립도 제공된다.이용 방법은 스마트폰에서 U+AR쇼핑앱 실행 후 해당 상품 방송 시간에 홈쇼핑 화면을 스마트폰 카메라로 비추거나, 앱 내의 방송편성표에 있는 ‘AR’ 표시가 있는 상품을 클릭하면 된다.이용 중인 통신사에 관계없이 이용할 수 있으며, IPTV 제공 사업자에 상관없이 GS홈쇼핑 방송이 송출되는 모든 화면에서 이용이 가능하다.손민선 LG유플러스 클라우드서비스담당 상무는 “홈쇼핑과 다양한 협력을 통해 기존에는 경험해 보지 못한 차별화된 쇼핑 경험을 제공하는 언택트 시대의 새로운 쇼핑 서비스로 진화해 나갈 것”이라고 말했다.선민규 기자"
9,2차전지,"(사진=LG유플러스 제공)LG유플러스는 GS홈쇼핑과 손잡고 GS홈쇼핑에서 파는 국내 과수농가의 농산물과 중소기업 상품에 AR(증강현실) 기술을 적용한다고 25일 밝혔다.코로나19 사태로 어려움을 겪는 국내 과수농가와 중소기업을 돕자는 취지다. 26일부터 U+AR쇼핑앱에서 GS홈쇼핑을 통해 판매되는 사과, 신발, 믹서기 등 상품의 3D AR 제품 이미지와 영상을 확인할 수 있게 된다.양사는 U+AR쇼핑 앱을 통해 해당 상품 구매 때 홈쇼핑과 동일한 할인 혜택을 적용하고, LG유플러스 멤버십 고객에게는 5%의 추가 할인 또는 10%의 적립 혜택도 제공한다.U+AR쇼핑은 스마트폰으로 방송 중인 홈쇼핑 채널을 비추면, 일부 상품에 대해 해당 상품 정보를 360도 3D AR 이미지와 영상으로 제공하는 서비스다."
